,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE,Discount_Amount,CAR_AGE
655,Plus,T,Datsun,Petrol,2018,TN-14,Manual,1,17003,Chennai,8367,428000,444000,16000,5
656,Go,T CVTAutomatic,Datsun,Petrol,2019,TN-31,Automatic,1,29708,Chennai,9208,471000,520000,49000,4
657,Go,T (O),Datsun,Petrol,2017,TN-18,Manual,1,52524,Chennai,5767,295000,301000,6000,6
658,Go,T (O),Datsun,Petrol,2018,TN-23,Manual,1,91261,Chennai,5865,300000,325000,25000,5
659,Go,T (O),Datsun,Petrol,2019,TN-09,Manual,1,55019,Chennai,6041,309000,320000,11000,4
660,Go,A,Datsun,Petrol,2021,TN-12,Manual,1,24077,Chennai,7820,400000,400000,0,2
661,Vento,HIGHLINE DIESEL 1.6,Volkswagen,Diesel,2014,TN-01,Manual,2,110659,Chennai,8485,434000,460000,26000,9
662,Vento,HIGHLINE 1.6 MPI,Volkswagen,Petrol,2011,TN-10,Manual,2,98263,Chennai,6764,346000,369000,23000,12
663,Polo,HIGHLINE1.5L,Volkswagen,Diesel,2016,TN-69,Manual,3,81009,Chennai,11417,584000,623000,39000,7
664,Polo,COMFORTLINE  CUP EDITION,Volkswagen,Petrol,2019,TN-81,Manual,1,94931,Chennai,13020,666000,666000,0,4
665,Vento,COMFORTLINE 1.6,Volkswagen,Petrol,2016,TN-01,Manual,2,90403,Chennai,10557,540000,590000,50000,7
666,Polo,HIGHLINE1.2L,Volkswagen,Petrol,2016,TN-01,Manual,2,61583,Chennai,11105,568000,621000,53000,7
667,Ameo,HIGHLINE1.5L,Volkswagen,Diesel,2016,TN-22,Manual,2,103651,Chennai,10029,513000,550000,37000,7
668,Polo,COMFORTLINE PLUS 1.0L MPI,Volkswagen,Petrol,2020,TN-06,Manual,2,41873,Chennai,14408,737000,751000,14000,3
669,VIRTUS,HIGHLINE TSI 1.0 MT,Volkswagen,Petrol,2022,TN-13,Manual,1,22239,Chennai,24287,1276000,1332000,56000,1
670,Polo,COMFORTLINE 1.0L MPI,Volkswagen,Petrol,2019,TN-91,Manual,1,36992,Chennai,13294,680000,692000,12000,4
671,Ameo,HIGHLINE1.2L,Volkswagen,Petrol,2017,TN-22,Manual,1,84005,Chennai,11163,571000,617000,46000,6
672,Vento,HIGHLINE 1.5 ATAutomatic,Volkswagen,Diesel,2017,TN-07,Automatic,2,86403,Chennai,14076,720000,740000,20000,6
673,Vento,HIGHLINE PLUS 1.0L TSI ATAutomatic,Volkswagen,Petrol,2020,TN-72,Automatic,2,38464,Chennai,19472,1023000,1210000,187000,3
674,Polo,HIGHLINE PLUS 1.5 16 ALLOY,Volkswagen,Diesel,2017,TN-18,Manual,1,78792,Chennai,13372,684000,684000,0,6
675,TAIGUN,GT PLUS 1.5 TSI DSGAutomatic,Volkswagen,Petrol,2021,TN-04,Automatic,1,18655,Chennai,30892,1623000,1734000,111000,2
676,Vento,HIGHLINE PLUS 1.2 AT 16 ALLOYAutomatic,Volkswagen,Petrol,2019,TN-49,Automatic,1,67433,Chennai,17740,932000,1002000,70000,4
677,Polo,HIGHLINE PLUS 1.5 16 ALLOY,Volkswagen,Diesel,2018,TN-07,Manual,2,106275,Chennai,14272,730000,758000,28000,5
678,Vento,HIGHLINE PETROL ATAutomatic,Volkswagen,Petrol,2016,TN-99,Automatic,1,91700,Chennai,14096,721000,728000,7000,7
679,VIRTUS,TOPLINE TSI 1.0 ATAutomatic,Volkswagen,Petrol,2022,TN-60,Automatic,1,13176,Chennai,30226,1588000,1714000,126000,1
680,TAIGUN,TOPLINE 1.0 TSI MT,Volkswagen,Petrol,2022,TN-07,Manual,1,4977,Chennai,28818,1514000,1635000,121000,1
681,Ecosport,TITANIUM 1.5L PETROL,Ford,Petrol,2017,TN-14,Manual,1,70996,Chennai,11652,596000,645000,49000,6
682,FREESTYLE,TITANIUM 1.2 PETROL,Ford,Petrol,2018,TN-72,Manual,1,64425,Chennai,11750,601000,630000,29000,5
683,FREESTYLE,TITANIUM 1.5 DIESEL,Ford,Diesel,2018,TN-12,Manual,1,37584,Chennai,11887,608000,686000,78000,5
684,Aspire,TITANIUM 1.2 PETROL,Ford,Petrol,2021,TN-22,Manual,1,23529,Chennai,13959,714000,732000,18000,2
685,Ecosport,TITANIUM 1.5L PETROL,Ford,Petrol,2017,TN-12,Manual,3,61120,Chennai,11065,566000,627000,61000,6
686,Figo,TITANIUM PLUS 1.2 PETROL ATAutomatic,Ford,Petrol,2021,TN-07,Automatic,1,13923,Chennai,14467,740000,817000,77000,2
687,Ecosport,TITANIUM + 1.5L PETROL ATAutomatic,Ford,Petrol,2020,TN-11,Automatic,3,30015,Chennai,16369,860000,880000,20000,3
688,FREESTYLE,AMBIENTE 1.5 DIESEL,Ford,Diesel,2019,TN-73,Manual,2,83778,Chennai,10538,539000,581000,42000,4
689,FREESTYLE,TITANIUM PLUS 1.2 PETROL,Ford,Petrol,2020,TN-11,Manual,1,40469,Chennai,12004,614000,671000,57000,3
690,Ecosport,TREND 1.5L PETROL,Ford,Petrol,2020,TN-13,Manual,1,27062,Chennai,15034,769000,833000,64000,3
691,Ecosport,TITANIUM + 1.5L DIESEL,Ford,Diesel,2017,TN-14,Manual,3,67245,Chennai,13548,693000,726000,33000,6
692,Ecosport,TITANIUM 1.5L DIESEL (OPT),Ford,Diesel,2015,TN-14,Manual,2,106498,Chennai,10244,524000,534000,10000,8
693,Ecosport,1.0 ECOBOOST TITANIUM +,Ford,Petrol,2017,TN-12,Manual,1,34097,Chennai,13763,704000,856000,152000,6
694,Ecosport,AMBIENTE 1.5L PETROL,Ford,Petrol,2016,TN-13,Manual,2,111586,Chennai,10313,527500,574000,46500,7
695,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2016,TN-22,Manual,1,106165,Chennai,13255,678000,692000,14000,7
696,Ecosport,TITANIUM + 1.5L PETROL ATAutomatic,Ford,Petrol,2018,TN-19,Automatic,2,25925,Chennai,15627,821000,829000,8000,5
697,FREESTYLE,TITANIUM 1.2 PETROL,Ford,Petrol,2020,TN-14,Manual,1,23608,Chennai,12669,648000,715000,67000,3
698,Ecosport,TREND + 1.5L PETROL ATAutomatic,Ford,Petrol,2018,TN-10,Automatic,1,92689,Chennai,12903,660000,713000,53000,5
699,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2019,TN-14,Manual,1,54148,Chennai,15722,826000,843000,17000,4
700,Ecosport,TITANIUM 1.5L PETROL ATAutomatic,Ford,Petrol,2014,TN-11,Automatic,1,82620,Chennai,11163,571000,603000,32000,9
701,CARENS,LUXURY PLUS 1.4 PETROL 6 STR,KIA,Petrol,2022,TN-09,Manual,1,4710,Chennai,32301,1697000,1773000,76000,1
702,SELTOS,HTK PLUS 1.5 PETROL,KIA,Petrol,2020,TN-12,Manual,1,20813,Chennai,23286,1223399,1223399,0,3
703,SELTOS,HTX AT PETROLAutomatic,KIA,Petrol,2020,TN-13,Automatic,1,30758,Chennai,27693,1454899,1474499,19600,3
704,SELTOS,1.5 GTX+ ATAutomatic,KIA,Diesel,2020,TN-09,Automatic,1,58373,Chennai,29408,1545000,1545000,0,3
705,CARENS,PRESTIGE 1.4G MT 7STR,KIA,Petrol,2022,TN-11,Manual,1,1931,Chennai,24954,1310999,1388799,77800,1
706,SELTOS,HTX 1.5 DIESEL,KIA,Diesel,2019,TN-09,Manual,1,24971,Chennai,26267,1380000,1380000,0,4
707,SELTOS,1.4 GTX+ TURBO GDI PETROL ATAutomatic,KIA,Petrol,2020,TN-14,Automatic,1,16132,Chennai,30474,1601000,1601000,0,3
708,SONET,GTX PLUS 1.5D  MT,KIA,Diesel,2020,TN-12,Manual,1,32757,Chennai,22765,1196000,1248000,52000,3
709,SONET,GTX PLUS 1.5D  ATAutomatic,KIA,Diesel,2020,TN-12,Automatic,1,23012,Chennai,24782,1302000,1443000,141000,3
710,SELTOS,GTX + AT PETROLAutomatic,KIA,Petrol,2019,TN-11,Automatic,1,15887,Chennai,31736,1667299,1863499,196200,4
