,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE
186,Alto,VXI,Maruti,Petrol,2022,GJ-08,Manual,1,"10,221","Naroda, Ahmedabad","₹8,328","4,26,000","4,32,000"
187,Eeco,5 STR WITH A/C+HTR,Maruti,CNG,2018,GJ-01,Manual,1,"57,011","Karnavati Club, Ahmedabad","₹9,247","4,73,000","4,73,000"
188,800,LXI,Maruti,Petrol,2014,GJ-01,Manual,1,"7,824","Naroda, Ahmedabad","₹4,712","2,41,000","2,50,000"
189,Dzire,VXI,Maruti,Petrol,2012,GJ-01,Manual,3,"1,19,603","Naroda, Ahmedabad","₹6,256","3,20,000","3,39,000"
190,1.0,VXI,Maruti,Petrol,2014,GJ-01,Manual,2,"94,458","Naroda, Ahmedabad","₹5,787","2,96,000","3,29,000"
191,Swift,VDI,Maruti,Diesel,2012,GJ-02,Manual,3,"1,14,919","Karnavati Club, Ahmedabad","₹6,080","3,11,000","3,26,000"
192,Baleno,DELTA PETROL 1.2,Maruti,Petrol,2019,GJ-01,Manual,1,"20,594","Naroda, Ahmedabad","₹13,235","6,77,000","6,77,000"
193,Ciaz,ALPHA  AT 1.5 SHVS PETROLAutomatic,Maruti,Petrol,2022,GJ-18,Automatic,1,"7,536","Naroda, Ahmedabad","₹20,957","11,01,000","11,76,000"
194,Brezza,VXI,Maruti,Petrol,2021,GJ-01,Manual,2,"27,815","Karnavati Club, Ahmedabad","₹15,601","7,98,000","8,55,000"
195,Eeco,5 STR WITH A/C+HTR,Maruti,Petrol,2018,GJ-23,Manual,1,"75,399","Karnavati Club, Ahmedabad","₹7,859","4,02,000","4,17,000"
196,Dzire,VXI,Maruti,Petrol,2012,GJ-01,Manual,1,"1,16,202","Karnavati Club, Ahmedabad","₹6,530","3,34,000","3,44,000"
197,Ciaz,ZETA AT 1.5  SHVS PETROLAutomatic,Maruti,Petrol,2022,GJ-27,Automatic,1,"7,815","Naroda, Ahmedabad","₹20,328","10,68,000","11,41,000"
198,1.0,VXI,Maruti,Petrol,2017,GJ-18,Manual,3,"45,446","Karnavati Club, Ahmedabad","₹6,452","3,30,000","3,56,000"
199,1.0,LXI,Maruti,CNG,2013,GJ-04,Manual,1,"1,23,137","Naroda, Ahmedabad","₹5,435","2,78,000","2,89,000"
