,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE
526,SLAVIA,AMBITION 1.0L TSI MT,Skoda,Petrol,2022,KA-05,Manual,1,"7,281","Horamavu Agara Road, Bengaluru","₹25,582","13,44,000","14,49,000"
527,Rapid,AMBITION AT TSIAutomatic,Skoda,Petrol,2021,KA-51,Automatic,1,"29,517","Whitefield Main Road, Bhoruka Tech Park, Benga","₹19,834","10,42,000","11,94,000"
528,Rapid,STYLE 1.5 TDI ATAutomatic,Skoda,Diesel,2017,KA-19,Automatic,1,"1,05,925","Bellahalli, Bengaluru","₹16,826","8,84,000","8,84,000"
529,Rapid,STYLE 1.5 TDI ATAutomatic,Skoda,Diesel,2017,KA-03,Automatic,1,"75,037","Hosur Road, Singasandra, Bengaluru","₹17,664","9,28,000","9,97,000"
530,Rapid,AMBITION 1.6 MPI MT,Skoda,Petrol,2017,KA-03,Manual,1,"36,024",Sonnappanahalli,"₹13,666","6,99,000","7,97,000"
531,Compass,SPORT 2.0 DIESEL,Jeep,Diesel,2018,KA-53,Manual,1,"79,040","Bellahalli, Bengaluru","₹23,583","12,39,000","13,31,000"
532,Compass,SPORT 2.0 DIESEL,Jeep,Diesel,2019,KA-04,Manual,1,"38,529","Garuda Mall, Magrath Road, Bengaluru","₹27,352","14,37,000","14,99,000"
533,Compass,LIMITED (O) 1.4 PETROL ATAutomatic,Jeep,Petrol,2018,KA-01,Automatic,3,"18,610","Bellahalli, Bengaluru","₹26,495","13,92,000","14,69,000"
534,Compass,LIMITED 1.4 ATAutomatic,Jeep,Petrol,2017,KA-01,Automatic,1,"22,590","GT World Mall, Bengaluru","₹32,156","16,89,399","16,89,399"
535,Compass,2.0 LONGITUDE (O),Jeep,Diesel,2018,KA-03,Manual,1,"13,092","Bellahalli, Bengaluru","₹30,422","15,98,299","17,37,099"
536,Compass,LIMITED 1.4 ATAutomatic,Jeep,Petrol,2017,KA-03,Automatic,2,"14,094","Horamavu Agara Road, Bengaluru","₹29,748","15,62,899","15,62,899"
537,Compass,2.0 LONGITUDE,Jeep,Diesel,2018,KA-14,Manual,1,"90,912","Bellahalli, Bengaluru","₹25,658","13,48,000","15,39,000"
538,Compass,LIMITED (O) 2.0,Jeep,Diesel,2018,KA-03,Manual,2,"32,894","GT World Mall, Bengaluru","₹28,054","14,73,899","15,74,699"
539,Compass,2.0 LIMITED PLUS,Jeep,Diesel,2019,KA-01,Manual,2,"16,052","Horamavu Agara Road, Bengaluru","₹35,085","18,43,299","19,25,699"
540,Compass,LIMITED O 1.4 ATAutomatic,Jeep,Petrol,2018,KA-04,Automatic,1,"51,628","Horamavu Agara Road, Bengaluru","₹31,450","16,52,299","17,15,699"
541,Swift,VXI,Maruti,Petrol,2016,TN-02,Manual,1,"48,870","Thiruverkadu, Chennai","₹10,225","5,23,000","5,54,000"
542,Swift,ZXI,Maruti,Petrol,2021,TN-06,Manual,1,"15,922","Thiruverkadu, Chennai","₹13,626","6,97,000","6,97,000"
543,Swift,VXI,Maruti,Petrol,2013,TN-11,Manual,3,"88,122","Thiruverkadu, Chennai","₹7,194","3,68,000","4,14,000"
544,800,LXI,Maruti,Petrol,2015,TN-19,Manual,2,"1,11,283",Navalur,"₹4,555","2,33,000","2,74,000"
545,Ritz,ZXI,Maruti,Petrol,2011,TN-22,Manual,1,"81,738",Navalur,"₹5,572","2,85,000","3,10,000"
546,Baleno,ZETA PETROL 1.2,Maruti,Petrol,2017,TN-22,Manual,1,"48,362","Thiruverkadu, Chennai","₹12,336","6,31,000","6,31,000"
547,800,LXI,Maruti,Petrol,2014,TN-12,Manual,2,"43,088",Navalur,"₹4,770","2,44,000","2,73,000"
548,Swift,ZXI,Maruti,Petrol,2017,TN-02,Manual,1,"35,149","Thiruverkadu, Chennai","₹11,183","5,72,000","6,27,000"
549,Dzire,VXI,Maruti,Petrol,2017,TN-05,Manual,1,"12,360",Navalur,"₹12,981","6,64,000","6,73,000"
550,800,VXI O,Maruti,Petrol,2016,TN-07,Manual,3,"21,665","Thiruverkadu, Chennai","₹5,455","2,79,000","3,04,000"
551,Dzire,VXI (O),Maruti,Petrol,2016,TN-09,Manual,1,"56,176",Navalur,"₹9,795","5,01,000","5,76,000"
552,Baleno,ALPHA PETROL 1.2,Maruti,Petrol,2016,TN-13,Manual,1,"82,653","Thiruverkadu, Chennai","₹11,515","5,89,000","6,32,000"
553,Baleno,DELTA PETROL 1.2,Maruti,Petrol,2019,TN-20,Manual,2,"82,171",Navalur,"₹11,222","5,74,000","6,63,000"
554,Celerio,VXI (O),Maruti,Petrol,2016,TN-11,Manual,3,"69,437",Navalur,"₹7,155","3,66,000","4,21,000"
555,Swift,VXI,Maruti,Petrol,2015,TN-13,Manual,1,"89,183","Thiruverkadu, Chennai","₹9,013","4,61,000","5,11,000"
556,Swift,VDI,Maruti,Diesel,2013,TN-22,Manual,1,"96,165",Navalur,"₹8,524","4,36,000","4,75,000"
557,Wagon-R,ZXI PLUS 1.2 DUAL TONE,Maruti,Petrol,2022,TN-36,Manual,1,"4,756","Thiruverkadu, Chennai","₹11,613","5,94,000","6,59,000"
558,Baleno,ALPHA PETROL 1.2,Maruti,Petrol,2017,TN-14,Manual,3,"36,573","Thiruverkadu, Chennai","₹11,007","5,63,000","6,34,000"
559,Cross,SIGMA 1.5,Maruti,Petrol,2021,TN-85,Manual,1,"11,323","Thiruverkadu, Chennai","₹16,274","8,55,000","9,15,000"
560,Ciaz,ALPHA 1.4 PETROL,Maruti,Petrol,2017,TN-06,Manual,2,"1,04,073","Thiruverkadu, Chennai","₹11,026","5,64,000","6,61,000"
561,i20,SPORTZ (O) 1.2,Hyundai,Petrol,2011,TN-02,Manual,3,"50,046",Navalur,"₹5,885","3,01,000","3,01,000"
562,VENUE,S 1.2,Hyundai,Petrol,2022,TN-11,Manual,1,"39,761","Thiruverkadu, Chennai","₹16,293","8,56,000","8,81,000"
563,Eon,ERA PLUS (O),Hyundai,Petrol,2017,TN-11,Manual,1,"55,913","Thiruverkadu, Chennai","₹6,823","3,49,000","3,49,000"
564,i10,SPORTZ 1.2 KAPPA VTVT,Hyundai,Petrol,2017,TN-14,Manual,1,"66,613","Thiruverkadu, Chennai","₹10,381","5,31,000","5,67,000"
565,Verna,FLUIDIC 4S 1.6 VTVT SX,Hyundai,Petrol,2016,TN-05,Manual,1,"41,659","Thiruverkadu, Chennai","₹12,532","6,41,000","6,66,000"
566,i20,MAGNA 1.2,Hyundai,Petrol,2014,TN-03,Manual,2,"35,325","Thiruverkadu, Chennai","₹9,501","4,86,000","5,36,000"
567,i20,SPORTZ 1.4 CRDI,Hyundai,Diesel,2014,TN-02,Manual,3,"76,697","Thiruverkadu, Chennai","₹9,482","4,85,000","5,39,000"
568,i10,MAGNA 1.1,Hyundai,Petrol,2016,TN-11,Manual,1,"41,514","Thiruverkadu, Chennai","₹7,429","3,80,000","3,91,000"
569,i20,ASTA 1.2,Hyundai,Petrol,2014,TN-14,Manual,2,"83,423","Thiruverkadu, Chennai","₹9,325","4,77,000","5,28,000"
570,i10,MAGNA 1.2,Hyundai,Petrol,2011,TN-22,Manual,1,"45,851",Navalur,"₹5,630","2,88,000","2,88,000"
571,Eon,MAGNA +,Hyundai,Petrol,2018,TN-19,Manual,2,"57,231","Thiruverkadu, Chennai","₹6,510","3,33,000","3,64,000"
572,Active,1.2 SX,Hyundai,Petrol,2016,TN-22,Manual,1,"26,523","Thiruverkadu, Chennai","₹11,984","6,13,000","7,06,000"
573,i10,MAGNA 1.2,Hyundai,Petrol,2013,TN-04,Manual,2,"72,949",Navalur,"₹5,963","3,05,000","3,40,000"
574,Xcent,S 1.2,Hyundai,Petrol,2016,TN-85,Manual,2,"59,532",Navalur,"₹8,778","4,49,000","4,75,000"
575,Eon,ERA PLUS (O),Hyundai,Petrol,2016,TN-01,Manual,2,"53,253","Thiruverkadu, Chennai","₹5,630","2,88,000","3,10,000"
576,VENUE,S+ 1.2,Hyundai,Petrol,2020,TN-11,Manual,2,"25,343","Thiruverkadu, Chennai","₹15,582","7,97,000","8,64,000"
577,i10,MAGNA 1.2,Hyundai,Petrol,2013,TN-12,Manual,1,"1,07,580","Thiruverkadu, Chennai","₹5,689","2,91,000","3,11,000"
578,i20,SPORTZ 1.2,Hyundai,Petrol,2016,TN-04,Manual,2,"94,348","Thiruverkadu, Chennai","₹9,677","4,95,000","5,54,000"
579,Active,1.4 S,Hyundai,Diesel,2016,TN-04,Manual,2,"80,805",Navalur,"₹11,085","5,67,000","6,14,000"
580,Verna,SX (O) 1.0 TURBO DCTAutomatic,Hyundai,Petrol,2020,TN-06,Automatic,1,"29,180",Navalur,"₹24,402","12,82,000","14,09,000"
581,City,1.5L I-VTEC SV,Honda,Petrol,2016,TN-12,Manual,1,"1,01,599","Thiruverkadu, Chennai","₹11,085","5,67,000","6,13,000"
582,City,1.5L I-DTEC SV,Honda,Diesel,2015,TN-01,Manual,1,"1,19,887","Thiruverkadu, Chennai","₹11,574","5,92,000","6,10,000"
583,Amaze,1.2 SMT I VTEC,Honda,Petrol,2019,TN-09,Manual,2,"34,715","Thiruverkadu, Chennai","₹11,593","5,93,000","7,09,000"
584,City,1.5L I-VTEC S MT,Honda,Petrol,2014,TN-04,Manual,2,"85,490","Thiruverkadu, Chennai","₹9,638","4,93,000","5,11,000"
585,City,1.5L I-VTEC SV CVTAutomatic,Honda,Petrol,2014,TN-04,Automatic,3,"1,01,092",Navalur,"₹9,521","4,87,000","5,40,000"
586,City,1.5L I-VTEC V MT,Honda,Petrol,2016,TN-22,Manual,1,"81,007","Thiruverkadu, Chennai","₹11,593","5,93,000","6,34,000"
587,City,1.5L I-VTEC S MT,Honda,Petrol,2016,TN-07,Manual,2,"1,15,054",Navalur,"₹11,711","5,99,000","5,99,000"
588,Jazz,1.2L I-VTEC V,Honda,Petrol,2018,TN-03,Manual,2,"22,066","Thiruverkadu, Chennai","₹11,613","5,94,000","6,72,000"
589,City,1.5L I-VTEC V MT 4TH GEN,Honda,Petrol,2021,TN-99,Manual,2,"27,377","Thiruverkadu, Chennai","₹16,864","8,86,000","9,18,000"
590,City,1.5L I-VTEC S ATAutomatic,Honda,Petrol,2013,TN-01,Automatic,2,"1,08,898",Navalur,"₹8,192","4,19,000","4,53,000"
591,Amaze,1.2L I-VTEC S CVTAutomatic,Honda,Petrol,2021,TN-05,Automatic,1,"62,630",Navalur,"₹15,932","8,37,000","8,44,000"
592,Amaze,1.2L I-VTEC VX,Honda,Petrol,2014,TN-22,Manual,2,"76,597",Navalur,"₹7,879","4,03,000","4,27,000"
593,Brio,VX MT,Honda,Petrol,2016,TN-68,Manual,2,"1,01,271",Navalur,"₹7,253","3,71,000","4,11,000"
594,WR-V,1.2L I-VTEC VX MT,Honda,Petrol,2019,TN-13,Manual,2,"46,566",Navalur,"₹13,529","6,92,000","7,94,000"
595,Jazz,1.2L I-VTEC VX,Honda,Petrol,2015,TN-12,Manual,1,"48,579",Navalur,"₹9,892","5,06,000","5,74,000"
596,Amaze,1.5L I-DTEC SX,Honda,Diesel,2015,TN-73,Manual,1,"1,02,002","Thiruverkadu, Chennai","₹9,013","4,61,000","4,90,000"
597,City,1.5L I-VTEC VX,Honda,Petrol,2020,TN-12,Manual,2,"37,481","Thiruverkadu, Chennai","₹19,929","10,47,000","11,34,000"
598,Amaze,1.2L I-VTEC S ATAutomatic,Honda,Petrol,2016,TN-14,Automatic,1,"49,682","Thiruverkadu, Chennai","₹10,166","5,20,000","5,68,000"
599,City,1.5L I-VTEC V MT,Honda,Petrol,2017,TN-07,Manual,2,"22,286","Thiruverkadu, Chennai","₹15,621","7,99,000","8,58,000"
600,Jazz,1.2L I-VTEC ZX,Honda,Petrol,2020,TN-09,Manual,1,"33,945","Thiruverkadu, Chennai","₹15,288","7,82,000","8,40,000"
601,TRIBER,RXL MT,Renault,Petrol,2021,TN-12,Manual,1,"61,308","Thiruverkadu, Chennai","₹11,926","6,10,000","6,10,000"
602,Kwid,RXT 1.0 (O),Renault,Petrol,2019,TN-22,Manual,1,"39,276","Thiruverkadu, Chennai","₹6,882","3,52,000","3,84,000"
603,TRIBER,RXT,Renault,Petrol,2020,TN-07,Manual,1,"34,858","Thiruverkadu, Chennai","₹13,196","6,75,000","7,15,000"
604,Kwid,RXT 0.8,Renault,Petrol,2016,TN-01,Manual,2,"72,679","Thiruverkadu, Chennai","₹6,315","3,23,000","3,48,000"
605,Kwid,RXT 0.8,Renault,Petrol,2016,TN-04,Manual,2,"58,155",Navalur,"₹6,178","3,16,000","3,16,000"
606,TRIBER,RXZ,Renault,Petrol,2020,TN-13,Manual,2,"46,233",Navalur,"₹12,708","6,50,000","7,12,000"
607,TRIBER,RXL MT,Renault,Petrol,2021,TN-12,Manual,1,"23,539","Thiruverkadu, Chennai","₹12,551","6,42,000","6,74,000"
608,Duster,RXE PETROL,Renault,Petrol,2018,TN-02,Manual,2,"61,426",Navalur,"₹13,255","6,78,000","7,11,000"
609,Kwid,RXL,Renault,Petrol,2021,TN-18,Manual,1,"10,732",Navalur,"₹8,543","4,37,000","4,52,000"
610,Kwid,RXL 1.0,Renault,Petrol,2022,TN-02,Manual,1,"14,023",Navalur,"₹8,817","4,51,000","4,80,000"
611,Kwid,RXT 1.0 AMT (O)Automatic,Renault,Petrol,2020,TN-06,Automatic,1,"16,178","Thiruverkadu, Chennai","₹9,931","5,08,000","5,50,000"
612,Kwid,RXT 0.8,Renault,Petrol,2016,TN-11,Manual,1,"48,113","Thiruverkadu, Chennai","₹6,725","3,44,000","3,52,000"
613,Kiger,RXZ 1.0 TURBO MT,Renault,Petrol,2021,TN-23,Manual,1,"36,390",Navalur,"₹15,989","8,40,000","9,55,000"
614,Duster,110 PS RXZ 4X4 MT DIESEL,Renault,Diesel,2018,TN-10,Manual,1,"73,048",Navalur,"₹16,693","8,77,000","8,85,000"
615,Duster,RXZ CVT 1.3 TURBOAutomatic,Renault,Petrol,2021,TN-23,Automatic,1,"13,193","Thiruverkadu, Chennai","₹24,364","12,80,000","15,15,000"
616,TRIBER,RXL MT,Renault,Petrol,2021,TN-73,Manual,1,"27,925","Thiruverkadu, Chennai","₹12,923","6,61,000","6,72,000"
617,Kwid,RXT 0.8,Renault,Petrol,2016,TN-10,Manual,2,"54,538","Thiruverkadu, Chennai","₹6,530","3,34,000","3,34,000"
618,Kwid,RXT 1.0 (O),Renault,Petrol,2019,TN-11,Manual,1,"55,415",Navalur,"₹7,879","4,03,000","4,59,000"
619,Kwid,RXT 0.8,Renault,Petrol,2016,TN-12,Manual,1,"60,799",Navalur,"₹6,549","3,35,000","3,64,000"
620,TRIBER,RXZ,Renault,Petrol,2020,TN-12,Manual,1,"76,898","Thiruverkadu, Chennai","₹12,825","6,56,000","7,26,000"
621,Tiago,XZ PETROL,Tata,Petrol,2018,TN-19,Manual,2,"38,562","Thiruverkadu, Chennai","₹8,837","4,52,000","4,75,000"
622,Tiago,XT PETROL,Tata,Petrol,2021,TN-61,Manual,2,"40,397","Thiruverkadu, Chennai","₹11,320","5,79,000","5,90,000"
623,Tiago,XZ PETROL,Tata,Petrol,2017,TN-10,Manual,1,"65,287",Navalur,"₹8,465","4,33,000","4,58,000"
624,PUNCH,ACCOMPLISHED MT,Tata,Petrol,2023,TN-85,Manual,1,"6,872",Navalur,"₹15,073","7,71,000","8,13,000"
625,PUNCH,CREATIVE AMT 1.2 RTN DUAL TONEAutomatic,Tata,Petrol,2021,TN-31,Automatic,1,"24,354",Navalur,"₹15,288","7,82,000","8,39,000"
626,PUNCH,ADVENTURE MT,Tata,Petrol,2022,TN-73,Manual,1,"36,035","Thiruverkadu, Chennai","₹13,587","6,95,000","7,05,000"
627,Tiago,XE PETROL,Tata,Petrol,2020,TN-05,Manual,1,"40,531",Navalur,"₹9,697","4,96,000","5,25,000"
628,NEXON,XZ PLUS (O) PETROL,Tata,Petrol,2021,TN-11,Manual,1,"16,455",Navalur,"₹18,444","9,69,000","10,41,000"
629,Tiago,XZA PLUS DUAL TONE PETROLAutomatic,Tata,Petrol,2020,TN-74,Automatic,1,"12,011",Navalur,"₹12,669","6,48,000","7,25,000"
630,ALTROZ,XZ PLUS I-TURBO PETROL,Tata,Petrol,2021,TN-11,Manual,1,"15,957","Thiruverkadu, Chennai","₹15,542","7,95,000","8,37,000"
631,PUNCH,CREATIVE  AMTAutomatic,Tata,Petrol,2021,TN-01,Automatic,1,"9,664","Thiruverkadu, Chennai","₹15,475","8,13,000","8,54,000"
632,Harrier,XTA 2.0L KRYOTEC PLUSAutomatic,Tata,Diesel,2021,TN-01,Automatic,1,"17,209",Navalur,"₹36,241","19,04,000","20,54,000"
633,TIGOR,XZA PETROLAutomatic,Tata,Petrol,2018,TN-14,Automatic,2,"39,542",Navalur,"₹10,889","5,57,000","5,67,000"
634,Tiago,XZ PLUS PETROL,Tata,Petrol,2020,TN-22,Manual,1,"31,679","Thiruverkadu, Chennai","₹11,065","5,66,000","6,36,000"
635,NEXON,XZA PLUS DIESEL DARK EDITIONAutomatic,Tata,Diesel,2021,TN-49,Automatic,1,"29,514","Thiruverkadu, Chennai","₹20,833","10,94,500","11,54,000"
636,Harrier,XZ 2.0L,Tata,Diesel,2019,TN-10,Manual,1,"34,965","Thiruverkadu, Chennai","₹28,494","14,97,000","15,55,000"
637,TIGOR,XZ PLUS PETROL,Tata,CNG,2022,TN-87,Manual,1,"60,478","Thiruverkadu, Chennai","₹14,115","7,22,000","7,68,000"
638,NEXON,XM PETROL,Tata,Petrol,2018,TN-14,Manual,1,"38,334","Thiruverkadu, Chennai","₹13,705","7,01,000","7,24,000"
639,NEXON,XZA PLUS (O) PETROLAutomatic,Tata,Petrol,2020,TN-11,Automatic,2,"42,036","Thiruverkadu, Chennai","₹17,702","9,30,000","10,43,000"
640,Tiago,XM PETROL,Tata,Petrol,2018,TN-48,Manual,1,"69,684",Navalur,"₹8,700","4,45,000","4,45,000"
641,Go,T,Datsun,Petrol,2017,TN-25,Manual,3,"38,734","Thiruverkadu, Chennai","₹5,846","2,99,000","3,07,000"
642,Plus,T,Datsun,CNG,2016,TN-09,Manual,1,"53,184","Thiruverkadu, Chennai","₹6,999","3,58,000","3,83,000"
643,Go,T(O),Datsun,Petrol,2019,TN-85,Manual,2,"46,116",Navalur,"₹7,683","3,93,000","4,44,000"
644,Plus,T,Datsun,Petrol,2018,TN-18,Manual,1,"25,119","Thiruverkadu, Chennai","₹7,566","3,87,000","4,02,000"
645,Plus,A(O),Datsun,Petrol,2019,TN-04,Manual,1,"71,413","Thiruverkadu, Chennai","₹7,742","3,96,000","4,25,000"
646,Go,S,Datsun,Petrol,2016,TN-01,Manual,1,"61,126","Thiruverkadu, Chennai","₹4,946","2,53,000","2,70,000"
647,Go,A,Datsun,Petrol,2021,TN-14,Manual,1,"14,811",Navalur,"₹7,761","3,97,000","4,04,000"
648,Go,T (O),Datsun,Petrol,2018,TN-05,Manual,1,"50,995","Thiruverkadu, Chennai","₹6,471","3,31,000","3,31,000"
649,Plus,T,Datsun,Petrol,2019,TN-85,Manual,2,"62,493","Thiruverkadu, Chennai","₹9,568","4,89,400","5,19,000"
650,Go,A,Datsun,Petrol,2019,TN-03,Manual,1,"21,614","Thiruverkadu, Chennai","₹6,100","3,12,000","3,34,000"
651,Plus,T,Datsun,Petrol,2018,TN-45,Manual,1,"44,542","Thiruverkadu, Chennai","₹8,094","4,14,000","4,37,000"
652,Go,T (O),Datsun,Petrol,2021,TN-12,Manual,1,"49,254","Thiruverkadu, Chennai","₹7,683","3,93,000","4,58,000"
653,Plus,T,Datsun,Petrol,2018,TN-09,Manual,1,"14,668","Thiruverkadu, Chennai","₹8,309","4,25,000","4,69,000"
654,Go,A Optional,Datsun,Petrol,2019,TN-77,Manual,1,"85,674",Navalur,"₹7,840","4,01,000","5,28,000"
655,Plus,T,Datsun,Petrol,2018,TN-14,Manual,1,"17,003","Thiruverkadu, Chennai","₹8,367","4,28,000","4,44,000"
656,Go,T CVTAutomatic,Datsun,Petrol,2019,TN-31,Automatic,1,"29,708",Navalur,"₹9,208","4,71,000","5,20,000"
657,Go,T (O),Datsun,Petrol,2017,TN-18,Manual,1,"52,524",Navalur,"₹5,767","2,95,000","3,01,000"
658,Go,T (O),Datsun,Petrol,2018,TN-23,Manual,1,"91,261",Navalur,"₹5,865","3,00,000","3,25,000"
659,Go,T (O),Datsun,Petrol,2019,TN-09,Manual,1,"55,019",Navalur,"₹6,041","3,09,000","3,20,000"
660,Go,A,Datsun,Petrol,2021,TN-12,Manual,1,"24,077",Navalur,"₹7,820","4,00,000","4,00,000"
661,Vento,HIGHLINE DIESEL 1.6,Volkswagen,Diesel,2014,TN-01,Manual,2,"1,10,659",Navalur,"₹8,485","4,34,000","4,60,000"
662,Vento,HIGHLINE 1.6 MPI,Volkswagen,Petrol,2011,TN-10,Manual,2,"98,263","Thiruverkadu, Chennai","₹6,764","3,46,000","3,69,000"
663,Polo,HIGHLINE1.5L,Volkswagen,Diesel,2016,TN-69,Manual,3,"81,009",Navalur,"₹11,417","5,84,000","6,23,000"
664,Polo,COMFORTLINE  CUP EDITION,Volkswagen,Petrol,2019,TN-81,Manual,1,"94,931",Navalur,"₹13,020","6,66,000","6,66,000"
665,Vento,COMFORTLINE 1.6,Volkswagen,Petrol,2016,TN-01,Manual,2,"90,403",Navalur,"₹10,557","5,40,000","5,90,000"
666,Polo,HIGHLINE1.2L,Volkswagen,Petrol,2016,TN-01,Manual,2,"61,583","Thiruverkadu, Chennai","₹11,105","5,68,000","6,21,000"
667,Ameo,HIGHLINE1.5L,Volkswagen,Diesel,2016,TN-22,Manual,2,"1,03,651",Navalur,"₹10,029","5,13,000","5,50,000"
668,Polo,COMFORTLINE PLUS 1.0L MPI,Volkswagen,Petrol,2020,TN-06,Manual,2,"41,873",Navalur,"₹14,408","7,37,000","7,51,000"
669,VIRTUS,HIGHLINE TSI 1.0 MT,Volkswagen,Petrol,2022,TN-13,Manual,1,"22,239",Navalur,"₹24,287","12,76,000","13,32,000"
670,Polo,COMFORTLINE 1.0L MPI,Volkswagen,Petrol,2019,TN-91,Manual,1,"36,992","Thiruverkadu, Chennai","₹13,294","6,80,000","6,92,000"
671,Ameo,HIGHLINE1.2L,Volkswagen,Petrol,2017,TN-22,Manual,1,"84,005",Navalur,"₹11,163","5,71,000","6,17,000"
672,Vento,HIGHLINE 1.5 ATAutomatic,Volkswagen,Diesel,2017,TN-07,Automatic,2,"86,403","Thiruverkadu, Chennai","₹14,076","7,20,000","7,40,000"
673,Vento,HIGHLINE PLUS 1.0L TSI ATAutomatic,Volkswagen,Petrol,2020,TN-72,Automatic,2,"38,464",Navalur,"₹19,472","10,23,000","12,10,000"
674,Polo,HIGHLINE PLUS 1.5 16 ALLOY,Volkswagen,Diesel,2017,TN-18,Manual,1,"78,792",Navalur,"₹13,372","6,84,000","6,84,000"
675,TAIGUN,GT PLUS 1.5 TSI DSGAutomatic,Volkswagen,Petrol,2021,TN-04,Automatic,1,"18,655",Navalur,"₹30,892","16,23,000","17,34,000"
676,Vento,HIGHLINE PLUS 1.2 AT 16 ALLOYAutomatic,Volkswagen,Petrol,2019,TN-49,Automatic,1,"67,433",Navalur,"₹17,740","9,32,000","10,02,000"
677,Polo,HIGHLINE PLUS 1.5 16 ALLOY,Volkswagen,Diesel,2018,TN-07,Manual,2,"1,06,275",Navalur,"₹14,272","7,30,000","7,58,000"
678,Vento,HIGHLINE PETROL ATAutomatic,Volkswagen,Petrol,2016,TN-99,Automatic,1,"91,700",Navalur,"₹14,096","7,21,000","7,28,000"
679,VIRTUS,TOPLINE TSI 1.0 ATAutomatic,Volkswagen,Petrol,2022,TN-60,Automatic,1,"13,176",Navalur,"₹30,226","15,88,000","17,14,000"
680,TAIGUN,TOPLINE 1.0 TSI MT,Volkswagen,Petrol,2022,TN-07,Manual,1,"4,977",Navalur,"₹28,818","15,14,000","16,35,000"
681,Ecosport,TITANIUM 1.5L PETROL,Ford,Petrol,2017,TN-14,Manual,1,"70,996","Thiruverkadu, Chennai","₹11,652","5,96,000","6,45,000"
682,FREESTYLE,TITANIUM 1.2 PETROL,Ford,Petrol,2018,TN-72,Manual,1,"64,425","Thiruverkadu, Chennai","₹11,750","6,01,000","6,30,000"
683,FREESTYLE,TITANIUM 1.5 DIESEL,Ford,Diesel,2018,TN-12,Manual,1,"37,584","Thiruverkadu, Chennai","₹11,887","6,08,000","6,86,000"
684,Aspire,TITANIUM 1.2 PETROL,Ford,Petrol,2021,TN-22,Manual,1,"23,529","Thiruverkadu, Chennai","₹13,959","7,14,000","7,32,000"
685,Ecosport,TITANIUM 1.5L PETROL,Ford,Petrol,2017,TN-12,Manual,3,"61,120",Navalur,"₹11,065","5,66,000","6,27,000"
686,Figo,TITANIUM PLUS 1.2 PETROL ATAutomatic,Ford,Petrol,2021,TN-07,Automatic,1,"13,923","Thiruverkadu, Chennai","₹14,467","7,40,000","8,17,000"
687,Ecosport,TITANIUM + 1.5L PETROL ATAutomatic,Ford,Petrol,2020,TN-11,Automatic,3,"30,015",Navalur,"₹16,369","8,60,000","8,80,000"
688,FREESTYLE,AMBIENTE 1.5 DIESEL,Ford,Diesel,2019,TN-73,Manual,2,"83,778",Navalur,"₹10,538","5,39,000","5,81,000"
689,FREESTYLE,TITANIUM PLUS 1.2 PETROL,Ford,Petrol,2020,TN-11,Manual,1,"40,469","Thiruverkadu, Chennai","₹12,004","6,14,000","6,71,000"
690,Ecosport,TREND 1.5L PETROL,Ford,Petrol,2020,TN-13,Manual,1,"27,062","Thiruverkadu, Chennai","₹15,034","7,69,000","8,33,000"
691,Ecosport,TITANIUM + 1.5L DIESEL,Ford,Diesel,2017,TN-14,Manual,3,"67,245","Thiruverkadu, Chennai","₹13,548","6,93,000","7,26,000"
692,Ecosport,TITANIUM 1.5L DIESEL (OPT),Ford,Diesel,2015,TN-14,Manual,2,"1,06,498",Navalur,"₹10,244","5,24,000","5,34,000"
693,Ecosport,1.0 ECOBOOST TITANIUM +,Ford,Petrol,2017,TN-12,Manual,1,"34,097","Thiruverkadu, Chennai","₹13,763","7,04,000","8,56,000"
694,Ecosport,AMBIENTE 1.5L PETROL,Ford,Petrol,2016,TN-13,Manual,2,"1,11,586",Navalur,"₹10,313","5,27,500","5,74,000"
695,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2016,TN-22,Manual,1,"1,06,165",Navalur,"₹13,255","6,78,000","6,92,000"
696,Ecosport,TITANIUM + 1.5L PETROL ATAutomatic,Ford,Petrol,2018,TN-19,Automatic,2,"25,925","Thiruverkadu, Chennai","₹15,627","8,21,000","8,29,000"
697,FREESTYLE,TITANIUM 1.2 PETROL,Ford,Petrol,2020,TN-14,Manual,1,"23,608","Thiruverkadu, Chennai","₹12,669","6,48,000","7,15,000"
698,Ecosport,TREND + 1.5L PETROL ATAutomatic,Ford,Petrol,2018,TN-10,Automatic,1,"92,689",Navalur,"₹12,903","6,60,000","7,13,000"
699,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2019,TN-14,Manual,1,"54,148",Navalur,"₹15,722","8,26,000","8,43,000"
700,Ecosport,TITANIUM 1.5L PETROL ATAutomatic,Ford,Petrol,2014,TN-11,Automatic,1,"82,620",Navalur,"₹11,163","5,71,000","6,03,000"
701,CARENS,LUXURY PLUS 1.4 PETROL 6 STR,KIA,Petrol,2022,TN-09,Manual,1,"4,710",Navalur,"₹32,301","16,97,000","17,73,000"
702,SELTOS,HTK PLUS 1.5 PETROL,KIA,Petrol,2020,TN-12,Manual,1,"20,813","VR Mall, Chennai","₹23,286","12,23,399","12,23,399"
